year,inflation_factor
1947,13.103451750130606
1948,12.169761558189505
1949,12.290304854572819
1950,12.160910822510822
1951,11.266244224845996
1952,11.014626725219573
1953,10.931644978519394
1954,10.892310317017186
1955,10.920426061265744
1956,10.7617855282111
1957,10.408652478064974
1958,10.132045474218772
1959,10.038487707261293
1960,9.89088783730494
1961,9.786140683350984
1962,9.672385962979286
1963,9.552402067464635
1964,9.427758685496428
1965,9.28123645398319
1966,9.011838829718979
1967,8.767697877652934
1968,8.410689820359282
1969,7.976971830985916
1970,7.533711649860544
1971,7.228207081103334
1972,6.999128961530794
1973,6.586874882761208
1974,5.933529908752957
1975,5.436542808484285
1976,5.139729215456675
1977,4.8274168270552655
1978,4.4851998978158125
1979,4.031530424799081
1980,3.5519552903095284
1981,3.2179829545454544
1982,3.031304385359116
1983,2.938462761506276
1984,2.8154770686337396
1985,2.719534541511772
1986,2.6676768213932993
1987,2.575519290010268
1988,2.4740808849432816
1989,2.360964835608149
1990,2.2395962752726577
1991,2.148998164014688
1992,2.085563342638237
1993,2.025415585164677
1994,1.9741738348231854
1995,1.9203013234168216
1996,1.8655171864208682
1997,1.8229055702642372
1998,1.7951347068145802
1999,1.756609804902451
2000,1.6993965058316798
2001,1.652842080489527
2002,1.6268824128984432
2003,1.5903365036231885
2004,1.5490153954739954
2005,1.4985758791396382
2006,1.4517976598999462
2007,1.4112859858608673
2008,1.3594245719499924
2009,1.3637935882577747
2010,1.3418335489817395
2011,1.3009870785409525
2012,1.274562954418332
2013,1.2561481794692104
2014,1.236178174879778
2015,1.2346825146509115
2016,1.2192304687567816
2017,1.1937855861662878
2018,1.1653651100977138
2019,1.1446349418695998
2020,1.1305203796837084
2021,1.079923483470369
2022,1
