"","quantity","education","cohort","age","income"
"1","10th percentile","College Degree",1940,30,37668.5582493027
"2","10th percentile","Less than College",1940,30,23053.1576485733
"3","10th percentile","College Degree",1940,31,35627.8327027583
"4","10th percentile","Less than College",1940,31,22552.0060930424
"5","10th percentile","College Degree",1940,32,45494.3382499502
"6","10th percentile","Less than College",1940,32,22397.2126768985
"7","10th percentile","College Degree",1940,33,48742.8741324329
"8","10th percentile","Less than College",1940,33,23054.0620896642
"9","10th percentile","College Degree",1940,34,49841.6512335248
"10","10th percentile","Less than College",1940,34,23734.1196350118
"11","10th percentile","College Degree",1940,35,43492.3424678743
"12","10th percentile","Less than College",1940,35,19027.899829695
"13","10th percentile","College Degree",1940,36,33408.2399004684
"14","10th percentile","Less than College",1940,36,21381.2735362998
"15","10th percentile","College Degree",1940,37,47564.5379969755
"16","10th percentile","Less than College",1940,37,21834.406308771
"17","10th percentile","College Degree",1940,38,48274.2065001916
"18","10th percentile","Less than College",1940,38,22381.1474901009
"19","10th percentile","College Degree",1940,39,24189.1825487945
"20","10th percentile","Less than College",1940,39,20157.6521239954
"21","10th percentile","College Degree",1940,40,35519.5529030953
"22","10th percentile","Less than College",1940,40,19251.5976734776
"23","10th percentile","College Degree",1940,41,28961.8465909091
"24","10th percentile","Less than College",1940,41,19307.8977272727
"25","10th percentile","College Degree",1940,42,34860.0004316298
"26","10th percentile","Less than College",1940,42,19218.4698031768
"27","10th percentile","College Degree",1940,43,38200.0158995816
"28","10th percentile","Less than College",1940,43,17630.7765690377
"29","10th percentile","College Degree",1940,44,39416.6789608724
"30","10th percentile","Less than College",1940,44,18582.1486529827
"31","10th percentile","College Degree",1940,45,42424.7388475836
"32","10th percentile","Less than College",1940,45,19036.7417905824
"33","10th percentile","College Degree",1950,30,34809.1618450334
"34","10th percentile","Less than College",1950,30,21311.7317418572
"35","10th percentile","College Degree",1950,31,32179.8295454545
"36","10th percentile","Less than College",1950,31,19307.8977272727
"37","10th percentile","College Degree",1950,32,33241.2838898481
"38","10th percentile","Less than College",1950,32,17278.434996547
"39","10th percentile","College Degree",1950,33,29384.6276150628
"40","10th percentile","Less than College",1950,33,21392.0089037657
"41","10th percentile","College Degree",1950,34,30970.2477549711
"42","10th percentile","Less than College",1950,34,19989.8871872996
"43","10th percentile","College Degree",1950,35,35353.949039653
"44","10th percentile","Less than College",1950,35,17676.9745198265
"45","10th percentile","College Degree",1950,36,33345.9602674162
"46","10th percentile","Less than College",1950,36,20807.8792068677
"47","10th percentile","College Degree",1950,37,37345.0297051489
"48","10th percentile","Less than College",1950,37,19573.946604078
"49","10th percentile","College Degree",1950,38,32163.0515042627
"50","10th percentile","Less than College",1950,38,20584.3529627281
"51","10th percentile","College Degree",1950,39,30692.5428629059
"52","10th percentile","Less than College",1950,39,22098.6308612923
"53","10th percentile","College Degree",1950,40,40122.3672715097
"54","10th percentile","Less than College",1950,40,20156.3664774539
"55","10th percentile","College Degree",1950,41,38681.9669522644
"56","10th percentile","Less than College",1950,41,17191.9853121175
"57","10th percentile","College Degree",1950,42,37540.1401674883
"58","10th percentile","Less than College",1950,42,20855.6334263824
"59","10th percentile","College Degree",1950,43,32001.5662456019
"60","10th percentile","Less than College",1950,43,20254.1558516468
"61","10th percentile","College Degree",1950,44,39483.4766964637
"62","10th percentile","Less than College",1950,44,18122.9158036768
"63","10th percentile","College Degree",1950,45,36485.7251449196
"64","10th percentile","Less than College",1950,45,21123.314557585
"65","10th percentile","College Degree",1960,30,33593.9441290899
"66","10th percentile","Less than College",1960,30,19320.9970667772
"67","10th percentile","College Degree",1960,31,34192.7097876377
"68","10th percentile","Less than College",1960,31,18266.4843941248
"69","10th percentile","College Degree",1960,32,31283.4501395736
"70","10th percentile","Less than College",1960,32,20021.4080893271
"71","10th percentile","College Degree",1960,33,33794.0590384726
"72","10th percentile","Less than College",1960,33,18431.2818249986
"73","10th percentile","College Degree",1960,34,31784.1987406533
"74","10th percentile","Less than College",1960,34,19741.7383482319
"75","10th percentile","College Degree",1960,35,34565.4238215028
"76","10th percentile","Less than College",1960,35,19203.0132341682
"77","10th percentile","College Degree",1960,36,33803.1714179461
"78","10th percentile","Less than College",1960,36,17461.2408648993
"79","10th percentile","College Degree",1960,37,32812.3002647563
"80","10th percentile","Less than College",1960,37,18520.7205938846
"81","10th percentile","College Degree",1960,38,35902.6941362916
"82","10th percentile","Less than College",1960,38,18669.4009508716
"83","10th percentile","College Degree",1960,39,32300.5410925463
"84","10th percentile","Less than College",1960,39,21096.8837568784
"85","10th percentile","College Degree",1960,40,30589.1371049702
"86","10th percentile","Less than College",1960,40,20392.7580699802
"87","10th percentile","College Degree",1960,41,38015.3678512591
"88","10th percentile","Less than College",1960,41,19834.1049658743
"89","10th percentile","College Degree",1960,42,39045.1779095626
"90","10th percentile","Less than College",1960,42,20702.0787041327
"91","10th percentile","College Degree",1960,43,30938.4063414855
"92","10th percentile","Less than College",1960,43,20674.3745471015
"93","10th percentile","College Degree",1960,44,37176.3694913759
"94","10th percentile","Less than College",1960,44,20137.2001411619
"95","10th percentile","College Degree",1960,45,32968.669341072
"96","10th percentile","Less than College",1960,45,19781.2016046432
"97","10th percentile","College Degree",1970,30,32288.5336108019
"98","10th percentile","Less than College",1970,30,18693.3615641485
"99","10th percentile","College Degree",1970,31,39668.2099317486
"100","10th percentile","Less than College",1970,31,19834.1049658743
"101","10th percentile","College Degree",1970,32,32537.6482579689
"102","10th percentile","Less than College",1970,32,19522.5889547813
"103","10th percentile","College Degree",1970,33,39440.3452898551
"104","10th percentile","Less than College",1970,33,19084.0380434783
"105","10th percentile","College Degree",1970,34,37176.3694913759
"106","10th percentile","Less than College",1970,34,19344.1042586793
"107","10th percentile","College Degree",1970,35,35965.8210993513
"108","10th percentile","Less than College",1970,35,19481.4864288153
"109","10th percentile","College Degree",1970,36,34843.1438375987
"110","10th percentile","Less than College",1970,36,18873.3695786993
"111","10th percentile","College Degree",1970,37,35282.1496465217
"112","10th percentile","Less than College",1970,37,19758.0038020521
"113","10th percentile","College Degree",1970,38,36704.4634426498
"114","10th percentile","Less than College",1970,38,20394.0874283938
"115","10th percentile","College Degree",1970,39,38407.1550325155
"116","10th percentile","Less than College",1970,39,17729.3166473511
"117","10th percentile","College Degree",1970,40,40255.0064694522
"118","10th percentile","Less than College",1970,40,18785.6696857444
"119","10th percentile","College Degree",1970,41,35961.884825029
"120","10th percentile","Less than College",1970,41,18864.3126388438
"121","10th percentile","College Degree",1970,42,34413.199769295
"122","10th percentile","Less than College",1970,42,19118.444316275
"123","10th percentile","College Degree",1970,43,40094.9937404777
"124","10th percentile","Less than College",1970,43,19279.3622584934
"125","10th percentile","College Degree",1970,44,33376.810721754
"126","10th percentile","Less than College",1970,44,18542.6726231967
"127","10th percentile","College Degree",1970,45,37040.4754395273
"128","10th percentile","Less than College",1970,45,19754.9202344146
"129","50th percentile","College Degree",1940,30,74583.7453336194
"130","50th percentile","Less than College",1940,30,54242.7238789959
"131","50th percentile","College Degree",1940,31,76618.9950596953
"132","50th percentile","Less than College",1940,31,50843.2086084809
"133","50th percentile","College Degree",1940,32,78390.2443691449
"134","50th percentile","Less than College",1940,32,53242.3740103648
"135","50th percentile","College Degree",1940,33,88922.8109172763
"136","50th percentile","Less than College",1940,33,57964.4989682986
"137","50th percentile","College Degree",1940,34,86036.1836769179
"138","50th percentile","Less than College",1940,34,53401.7691787766
"139","50th percentile","College Degree",1940,35,80460.8335655674
"140","50th percentile","Less than College",1940,35,50886.0406874129
"141","50th percentile","College Degree",1940,36,77095.9382318501
"142","50th percentile","Less than College",1940,36,51397.2921545667
"143","50th percentile","College Degree",1940,37,83509.483691229
"144","50th percentile","Less than College",1940,37,52136.1017321969
"145","50th percentile","College Degree",1940,38,89703.9979563162
"146","50th percentile","Less than College",1940,38,55522.2895350619
"147","50th percentile","College Degree",1940,39,76599.0780711826
"148","50th percentile","Less than College",1940,39,48378.365097589
"149","50th percentile","College Degree",1940,40,71039.1058061906
"150","50th percentile","Less than College",1940,40,46175.4187740239
"151","50th percentile","College Degree",1940,41,70795.625
"152","50th percentile","Less than College",1940,41,48269.7443181818
"153","50th percentile","College Degree",1940,42,75782.6096339779
"154","50th percentile","Less than College",1940,42,47288.3484116022
"155","50th percentile","College Degree",1940,43,79338.4945606695
"156","50th percentile","Less than College",1940,43,49953.8669456067
"157","50th percentile","College Degree",1940,44,84464.3120590122
"158","50th percentile","Less than College",1940,44,47863.1101667736
"159","50th percentile","College Degree",1940,45,92464.1744114003
"160","50th percentile","Less than College",1940,45,44872.3199349442
"161","50th percentile","College Degree",1950,30,57896.8712320453
"162","50th percentile","Less than College",1950,30,46175.4187740239
"163","50th percentile","College Degree",1950,31,57923.6931818182
"164","50th percentile","Less than College",1950,31,43442.7698863636
"165","50th percentile","College Degree",1950,32,66049.0912525898
"166","50th percentile","Less than College",1950,32,42438.2613950276
"167","50th percentile","College Degree",1950,33,70523.1062761506
"168","50th percentile","Less than College",1950,33,47015.4041841004
"169","50th percentile","College Degree",1950,34,64755.972578576
"170","50th percentile","Less than College",1950,34,47863.1101667736
"171","50th percentile","College Degree",1950,35,70707.8980793061
"172","50th percentile","Less than College",1950,35,46232.0872057001
"173","50th percentile","College Degree",1950,36,69359.5973562258
"174","50th percentile","Less than College",1950,36,50419.0919243334
"175","50th percentile","College Degree",1950,37,77265.578700308
"176","50th percentile","Less than College",1950,37,51510.3858002054
"177","50th percentile","College Degree",1950,38,74717.2427252871
"178","50th percentile","Less than College",1950,38,49481.6176988656
"179","50th percentile","College Degree",1950,39,77196.4672298797
"180","50th percentile","Less than College",1950,39,49580.2615477711
"181","50th percentile","College Degree",1950,40,85104.658460361
"182","50th percentile","Less than College",1950,40,49271.1180559985
"183","50th percentile","College Degree",1950,41,81565.2253151775
"184","50th percentile","Less than College",1950,41,47277.9596083231
"185","50th percentile","College Degree",1950,42,83422.5337055295
"186","50th percentile","Less than College",1950,42,49010.7385519986
"187","50th percentile","College Degree",1950,43,81016.6234065871
"188","50th percentile","Less than College",1950,43,48609.9740439522
"189","50th percentile","College Degree",1950,44,78769.5360094451
"190","50th percentile","Less than College",1950,44,49354.3458705796
"191","50th percentile","College Degree",1950,45,76812.0529366729
"192","50th percentile","Less than College",1950,45,50763.1654845237
"193","50th percentile","College Degree",1960,30,67187.8882581797
"194","50th percentile","Less than College",1960,30,43000.248485235
"195","50th percentile","College Degree",1960,31,68767.94124847
"196","50th percentile","Less than College",1960,31,42979.9632802938
"197","50th percentile","College Degree",1960,32,70909.1536497001
"198","50th percentile","Less than College",1960,32,43796.830195403
"199","50th percentile","College Degree",1960,33,70889.5454807637
"200","50th percentile","Less than College",1960,33,44559.1428736229
"201","50th percentile","College Degree",1960,34,75018.605723281
"202","50th percentile","Less than College",1960,34,43431.8243661101
"203","50th percentile","College Degree",1960,35,80652.6555835065
"204","50th percentile","Less than College",1960,35,48007.5330854205
