year,income
1968,14466.386491017965
1969,15379.601690140847
1970,15421.507747264533
1971,15302.114390695759
1972,15748.040163444288
1973,16157.604087413243
1974,16091.73311253802
1975,16075.85708468803
1976,16128.470278103045
1977,16162.191536981029
1978,16146.719632136925
1979,15783.441613088404
1980,15010.563056848066
1981,14899.261079545453
1982,15156.521926795582
1983,15432.806423430962
1984,15203.576170622193
1985,15966.387293215616
1986,16032.73769657373
1987,15731.271823382718
1988,15853.910310716548
1989,15818.464398574599
1990,16402.803120096945
1991,16117.486230110158
1992,15933.70393775613
1993,15607.852499279
1994,15793.390678585483
1995,16059.479967734878
1996,16769.133988737183
1997,16772.554152001245
1998,17488.20231378764
1999,17843.642398199096
2000,18416.359933697913
2001,18341.58856719228
2002,18469.996033636024
2003,17938.995760869566
2004,17596.81489258459
2005,17623.252338682145
2006,17468.02944391615
2007,18332.604956332667
2008,17838.3692331278
2009,17943.43224070754
2010,17671.94784008951
2011,16912.832021032384
2012,16769.424791281992
2013,16857.508568476806
2014,16805.84228749058
2015,16994.170131655144
2016,17653.23795712944
2017,17876.93915284016
2018,17946.622695504793
2019,18314.159069913596
2020,19628.094832068546
2021,18426.734398454908
2022,17219
