year,income,quantity
1968,14466.386491017965,10th percentile
1969,15379.601690140847,10th percentile
1970,15421.507747264533,10th percentile
1971,15302.114390695759,10th percentile
1972,15748.040163444288,10th percentile
1973,16157.604087413243,10th percentile
1974,16091.73311253802,10th percentile
1975,16075.85708468803,10th percentile
1976,16128.470278103045,10th percentile
1977,16162.191536981029,10th percentile
1978,16146.719632136925,10th percentile
1979,15783.441613088404,10th percentile
1980,15010.563056848066,10th percentile
1981,14899.261079545453,10th percentile
1982,15156.521926795582,10th percentile
1983,15432.806423430962,10th percentile
1984,15203.576170622193,10th percentile
1985,15966.387293215616,10th percentile
1986,16032.73769657373,10th percentile
1987,15731.271823382718,10th percentile
1988,15853.910310716548,10th percentile
1989,15818.464398574599,10th percentile
1990,16402.803120096945,10th percentile
1991,16117.486230110158,10th percentile
1992,15933.70393775613,10th percentile
1993,15607.852499279,10th percentile
1994,15793.390678585483,10th percentile
1995,16059.479967734878,10th percentile
1996,16769.133988737183,10th percentile
1997,16772.554152001245,10th percentile
1998,17488.20231378764,10th percentile
1999,17843.642398199096,10th percentile
2000,18416.359933697913,10th percentile
2001,18341.58856719228,10th percentile
2002,18469.996033636024,10th percentile
2003,17938.995760869566,10th percentile
2004,17596.81489258459,10th percentile
2005,17623.252338682145,10th percentile
2006,17468.02944391615,10th percentile
2007,18332.604956332667,10th percentile
2008,17838.3692331278,10th percentile
2009,17943.43224070754,10th percentile
2010,17671.94784008951,10th percentile
2011,16912.832021032384,10th percentile
2012,16769.424791281992,10th percentile
2013,16857.508568476806,10th percentile
2014,16805.84228749058,10th percentile
2015,16994.170131655144,10th percentile
2016,17653.23795712944,10th percentile
2017,17876.93915284016,10th percentile
2018,17946.622695504793,10th percentile
2019,18314.159069913596,10th percentile
2020,19628.094832068546,10th percentile
2021,18426.734398454908,10th percentile
2022,17219,10th percentile
1968,59295.36323353294,50th percentile
1969,61741.761971830994,50th percentile
1970,63170.172184080664,50th percentile
1971,63290.1812021408,50th percentile
1972,63062.151943392455,50th percentile
1973,63984.902611142374,50th percentile
1974,61732.44517066577,50th percentile
1975,60008.55952004954,50th percentile
1976,60648.80474238876,50th percentile
1977,61395.08720648887,50th percentile
1978,61074.96700855792,50th percentile
1979,60472.95637198622,50th percentile
1980,58642.781843010314,50th percentile
1981,57360.54616477272,50th percentile
1982,57806.97462879834,50th percentile
1983,59004.33225104603,50th percentile
1984,58801.23857841565,50th percentile
1985,61094.34347506196,50th percentile
1986,63317.30935576996,50th percentile
1987,64387.982250256704,50th percentile
1988,64326.10300852532,50th percentile
1989,64218.24352854165,50th percentile
1990,64948.291982907074,50th percentile
1991,64469.944920440634,50th percentile
1992,62596.098165944044,50th percentile
1993,61977.71690603911,50th percentile
1994,61673.19059987631,50th percentile
1995,62309.93734222903,50th percentile
1996,63701.81536471339,50th percentile
1997,64603.77341016456,50th percentile
1998,66782.60136291602,50th percentile
1999,68918.82908554276,50th percentile
2000,69675.25673909887,50th percentile
2001,69822.66084819958,50th percentile
2002,69630.56727205336,50th percentile
2003,68384.4696557971,50th percentile
2004,68156.6774008558,50th percentile
2005,67435.91456128372,50th percentile
2006,68067.53328440899,50th percentile
2007,69153.0133071825,50th percentile
2008,68243.11351188962,50th percentile
2009,68694.28304054412,50th percentile
2010,67091.67744908697,50th percentile
2011,65049.353927047625,50th percentile
2012,63932.077793623524,50th percentile
2013,64563.50412835848,50th percentile
2014,66364.22531842088,50th percentile
2015,67692.70354825088,50th percentile
2016,69800.94433632575,50th percentile
2017,71627.13516997726,50th percentile
2018,72309.73971645304,50th percentile
2019,73485.5632680283,50th percentile
2020,79136.42657785959,50th percentile
2021,74833.29778707922,50th percentile
2022,71606,50th percentile
1968,126076.24040718564,90th percentile
1969,127631.54929577466,90th percentile
1970,133196.02196953443,90th percentile
1971,135312.03655825442,90th percentile
1972,136678.99036077334,90th percentile
1973,140116.0025060964,90th percentile
1974,136589.85849949307,90th percentile
1975,133635.6587753522,90th percentile
1976,134198.3298155738,90th percentile
1977,136726.92679268628,90th percentile
1978,137444.46566866775,90th percentile
1979,137072.03444316876,90th percentile
1980,134086.3122091847,90th percentile
1981,131901.90332386363,90th percentile
1982,136196.5060341851,90th percentile
1983,141169.6279882845,90th percentile
1984,141663.54418537524,90th percentile
1985,148192.8762360595,90th percentile
1986,152591.1141836967,90th percentile
1987,155618.02654100044,90th percentile
1988,158022.02020221233,90th percentile
1989,158260.19486048544,90th percentile
1990,161250.93181963137,90th percentile
1991,159326.72388004896,90th percentile
1992,158502.814040506,90th percentile
1993,158026.97478571843,90th percentile
1994,161793.41663293415,90th percentile
1995,163302.4245433665,90th percentile
1996,165176.6227200765,90th percentile
1997,169134.64752582673,90th percentile
1998,176975.1502060222,90th percentile
1999,179929.54231615807,90th percentile
2000,184953.81871219087,90th percentile
2001,186513.31173076018,90th percentile
2002,187091.47748332095,90th percentile
2003,183017.51517346015,90th percentile
2004,185107.33975914246,90th percentile
2005,182616.4566319563,90th percentile
2006,185063.55130276596,90th percentile
2007,189817.96509828666,90th percentile
2008,186443.72061836952,90th percentile
2009,190296.9383375486,90th percentile
2010,186257.2312670573,90th percentile
2011,182138.19099573334,90th percentile
2012,184162.87584685918,90th percentile
2013,184628.65941838454,90th percentile
2014,189176.05463637706,90th percentile
2015,195897.19713954293,90th percentile
2016,198769.92409094935,90th percentile
2017,204666.18224910687,90th percentile
2018,209832.14562886406,90th percentile
2019,211944.03974140072,90th percentile
2020,228785.67027735146,90th percentile
2021,219401.57459577406,90th percentile
2022,213605,90th percentile
