race,wealth,weight
Black,763141000,2.8488049274
Black,760673000,2.9630172631
Black,759784000,2.9801639278
Black,757397000,2.9450066216
Black,746919000,2.9734762996
Black,57372000,54.352711449
Black,56316000,54.72412226
Black,54323000,56.531402559
Black,50433000,51.831915022
Black,48602000,52.87133686
Black,22583100,321.21580542
Black,22559200,321.09472238
Black,22533200,326.77505361
Black,22502200,328.83544273
Black,22471200,330.20311939
Black,20994600,32.936872492
Black,20314600,28.223434715
Black,19374700,28.11567978
Black,18206700,26.870381565
Black,18049600,29.361262611
Black,16017500,2027.3149634
Black,14275280,136.07056105
Black,14274280,136.24767799
Black,14273290,139.01316644
Black,14265280,136.51328571
Black,14263280,131.46219034
Black,14004100,2039.9932077
Black,10315500,2081.4414257
Black,10314500,1897.2488007
Black,10307800,2033.2190309
Black,10208250,2128.2146303
Black,8564250,2141.6687904
Black,8506000,437.08745096
Black,8504500,468.09569075
Black,8450000,456.15797959
Black,8441000,453.66613702
Black,8352500,450.0019815
Black,8090000,2453.8687035
Black,8089000,2446.7431522
Black,8089000,2289.7677938
Black,8088000,2512.0677581
Black,8088000,2462.0443797
Black,7092400,448.34951658
Black,7092300,431.01907334
Black,7092300,418.64933007
Black,7092300,436.91538647
Black,7092300,434.52865993
Black,5881600,2057.0540192
Black,5088100,1741.0779639
Black,5076100,1863.0258026
Black,4901000,1874.2886348
Black,4879100,1910.7117995
Black,4875700,1867.8179026
Black,4689300,102.37358095
Black,4689200,97.017336245
Black,4689200,106.31593469
Black,4688200,108.93921566
Black,4688200,106.16452258
Black,4656960,2051.7891011
Black,4589100,439.23936834
Black,4530100,436.83994664
Black,4519100,433.31169233
Black,4459100,450.73431734
Black,4446000,420.87615357
Black,4281250,1918.6249768
Black,4266000,5853.919823
Black,4257000,5654.464509
Black,4196000,5831.754306
Black,4146000,5890.8455078
Black,4109000,5507.4505434
Black,3765800,5853.919823
Black,3495800,5831.754306
Black,3327810,2104.8584254
Black,3169900,2064.4690818
Black,3139200,1279.0617258
Black,3097300,1303.5306334
Black,3036700,613.25435775
Black,3033300,653.94781616
Black,3030300,612.23081025
Black,2771500,3866.3627893
Black,2770600,4551.494165
Black,2769600,3549.1486211
Black,2764600,3494.1141942
Black,2760600,3954.4516076
Black,2736800,5890.8455078
Black,2542700,2220.3011584
Black,2542300,2176.6126276
Black,2542200,2162.9389471
Black,2542200,2024.2625571
Black,2539700,2169.3026343
Black,2200700,6946.463044
Black,2129250,7186.5236506
Black,2041900,7147.6782198
Black,2035500,7459.209323
Black,1986400,591.67073734
Black,1985100,559.89972439
Black,1984400,568.63215744
Black,1982700,608.75495648
Black,1980700,614.24330454
Black,1797800,3155.0236501
Black,1777900,7219.8687882
Black,1622550,3743.2891251
Black,1622550,3826.9558333
Black,1622550,3435.1871846
Black,1570900,759.83435826
Black,1570900,736.05345007
Black,1569900,765.77163478
Black,1569900,709.32385077
Black,1568900,761.86069964
Black,1560550,3382.1248916
Black,1475200,2833.8515391
Black,1468500,4676.2209894
Black,1467550,4405.4120791
Black,1461300,4398.8216225
Black,1458800,4637.3481943
Black,1452900,4573.6785518
Black,1451200,4652.5091808
Black,1405701,3691.4245007
Black,1384701,2878.486427
Black,1371300,3207.2016401
Black,1362400,3135.758459
Black,1315600,4940.066597
Black,1314600,6437.2509048
Black,1314600,5469.4810792
Black,1314600,5593.4500244
Black,1314600,5018.8881264
Black,1202600,5694.546756
Black,1148700,4749.6398365
Black,1128800,4651.8208645
Black,1125700,4520.9295471
Black,1124700,4683.5170901
Black,1121200,4766.6093678
Black,1115460,5647.208756
Black,1101300,150.59380408
Black,1100300,129.72310524
Black,1100300,147.0567742
Black,1100300,143.29796049
Black,1100300,144.7693427
Black,1058790,6946.4248324
Black,1051400,6969.2780954
Black,1051150,6589.6153198
Black,1049720,7003.6086101
Black,1048800,3201.368207
Black,1046310,6850.3117305
Black,1045400,688.30178307
Black,1042900,3164.0361787
Black,965430,5845.746023
Black,965430,6161.0980334
Black,965430,6214.0505412
Black,964430,6183.8949502
Black,964430,6077.7280055
Black,952940,5712.565117
Black,945800,5993.7162032
Black,938700,6809.1396216
Black,938000,6905.7390456
Black,937100,5356.7390116
Black,936200,6550.5760663
Black,936200,6924.201053
Black,935050,714.6889728
Black,934980,5760.8731889
Black,932600,5569.6739781
Black,932400,6962.6958018
Black,928400,690.43826489
Black,920400,678.80991927
Black,909500,5420.6051182
Black,889400,694.12469229
Black,886500,9373.3813613
Black,886500,5638.7117241
Black,880800,6210.2408772
Black,861510,5685.2540753
Black,855490,5665.6713023
Black,852500,9821.4210842
Black,846740,5735.8050521
Black,844300,5024.425802
Black,834400,653.07551875
Black,833300,10200.260578
Black,831700,9160.5469058
Black,831700,9851.7621062
Black,823500,6025.8595099
Black,819270,6127.8483865
Black,814230,5795.2066543
Black,813800,4512.5762509
Black,813100,6109.8055986
Black,812210,4788.9428361
Black,808300,6160.9789651
Black,802400,2740.328854
Black,802400,2675.0335814
Black,793210,4723.144831
Black,768800,4690.6961212
